2,4,R
0,0,R
2,8,R
0,4,R
2,12,R
0,8,R
3,4,R
0,12,R
3,8,R
1,0,R
3,12,R
1,4,R
4,4,R
1,8,R
4,8,R
1,12,R
4,12,R
2,0,R
7,8,W
2,8,R
0,0,R
2,12,R
0,4,R
3,0,R
0,8,R
3,8,R
0,12,R
3,12,R
1,0,R
4,0,R
1,4,R
4,8,R
1,8,R
4,12,R
1,12,R
5,0,R
2,0,R
7,12,W
3,4,R
0,0,R
3,8,R
0,4,R
4,0,R
0,8,R
4,8,R
0,12,R
4,12,R
1,0,R
5,4,R
1,4,R
5,8,R
1,8,R
5,12,R
2,0,R
6,0,R
2,8,R
8,8,W
3,8,R
0,0,R
3,12,R
0,4,R
4,0,R
0,8,R
4,8,R
0,12,R
4,12,R
1,0,R
5,0,R
1,4,R
5,8,R
1,8,R
5,12,R
1,12,R
6,0,R
2,0,R
8,12,W
6,4,W
9,4,W
6,8,W
9,8,W
6,12,W
9,12,W
7,0,W
10,0,W
7,4,W
8,0,W
8,4,W
9,0,W
